,TERTIAIRE,INDUSTRIE,AGRICULTURE,INCONNU,region,year
0,15828206.452,3046649.733,25540.189000000002,108375.522,11,2019
1,1112895.573,1092417.113,58223.781,1344.555,24,2019
2,1161255.013,1220564.006,22334.889,5373.127,27,2019
3,1115672.862,929195.603,29321.389,88730.399,28,2019
4,2372670.734,2249379.945,140872.636,28172.704,32,2019
5,1881255.826,1894400.843,59709.531,93509.869,44,2019
6,1535369.274,1258968.791,28924.619,14697.346999999998,52,2019
7,1077313.822,552421.62,15209.58,9909.859,53,2019
8,2307305.245,931282.6460000001,82288.572,3974.0950000000003,75,2019
9,2624592.56,909842.224,21825.064,16168.268,76,2019
10,4466429.195,2897527.924,22069.012,7913.925,84,2019
11,3096785.258,647265.475,26947.971,33594.311,93,2019
12,16174726.881,3131567.168,25531.821,10258.279,11,2018
13,1086497.185,1076473.736,53673.879,23111.561,24,2018
14,1174523.63,1185208.27,28781.049,16.504,27,2018
15,1096819.081,1002889.052,40228.118,0.0,28,2018
16,2328638.279,2352332.413,139230.91,0.0,32,2018
17,1874206.608,1978261.787,74194.76,141.491,44,2018
18,1535713.42,1196645.561,27699.171,84.654,52,2018
19,1031560.807,577058.747,14011.958,0.0,53,2018
20,2266102.621,911410.805,67459.107,236.763,75,2018
21,2460762.676,969865.372,20469.035,0.0,76,2018
22,4336324.261,3203627.767,18981.791,393.373,84,2018
23,3033185.697,622758.512,22520.837,214.68900000000002,93,2018
24,14394375.654,2998366.456,17515.170000000002,8213.941,11,2020
25,1029422.76,1011861.223,65615.292,501.932,24,2020
26,1083361.141,1099425.595,23175.777000000002,934.7629999999999,27,2020
27,1059160.738,922426.905,32004.819,19690.252999999997,28,2020
28,2094977.608,2205952.536,169718.767,8310.011,32,2020
29,1793179.267,1974308.005,62310.711,616.741,44,2020
30,1463427.789,1155827.552,34023.346,1516.433,52,2020
31,1000820.726,570411.886,15852.247,1149.393,53,2020
32,2172284.43,1000683.147,93148.151,1760.901,75,2020
33,2370680.481,933889.241,20934.491,1319.907,76,2020
34,4163476.532,2778839.29,26910.613,3376.103,84,2020
35,2918805.758,650128.219,28529.942,3059.118,93,2020
36,14313199.77,3075829.085,12105.011,6522.941,11,2021
37,999352.604,1005111.4670000001,42002.363,165.604,24,2021
38,1091993.768,1110211.513,24011.592,125.546,27,2021
39,1060190.009,903265.331,28995.655,18703.911,28,2021
40,2158730.737,2138304.841,153413.745,8974.244,32,2021
41,1761423.719,1783634.163,46699.449,178.998,44,2021
42,1492624.407,1133015.723,32580.543,914.78,52,2021
43,967947.954,529703.224,15493.148,118.401,53,2021
44,2087430.501,1016713.849,66202.822,564.3050000000001,75,2021
45,2288410.709,909587.5109999999,16679.594,239.63,76,2021
46,4124835.932,2684917.843,27097.989,2436.28,84,2021
47,2783126.461,620754.499,23475.858,3021.64,93,2021
48,22264695.491,5202678.643,68517.73,7403.993,11,2022
49,3149537.094,2792633.825,426507.97000000003,803.062,24,2022
50,3187238.073,4023577.253,85647.463,505.233,27,2022
51,4231890.212,4660285.593,155300.965,1337.697,28,2022
52,6919413.728,7043965.473,332811.194,1780.469,32,2022
53,4742807.633,5894823.961,174301.344,425.08099999999996,44,2022
54,4626607.907,5116442.742,425867.547,911.059,52,2022
55,4146184.047,4315529.876,649714.769,868.331,53,2022
56,7560034.893,4614886.348,555838.602,923.1800000000001,75,2022
57,7631306.871,3610345.835,272967.62,923.405,76,2022
58,11361658.397,9629368.072,242440.349,3987.8,84,2022
59,8224929.171,2390467.281,169551.233,5668.573,93,2022
60,21197301.858,4989738.875,52544.154,6046.893,11,2023
61,2982854.288,2662925.8140000002,307025.12,802.051,24,2023
62,3046877.361,3818202.799,81631.216,567.713,27,2023
63,4073109.805,4485238.263,148805.229,1234.965,28,2023
64,6624329.24,6748281.112,293174.989,1694.467,32,2023
65,4542119.759,5548410.687,163094.29,403.707,44,2023
66,4428525.9,5004284.336,398142.59,832.979,52,2023
67,3955156.485,4173767.192,600782.223,821.869,53,2023
68,7162703.205,4377757.186,497658.908,1104.254,75,2023
69,7185138.407,3444505.203,240337.968,1225.287,76,2023
70,10813685.03,9164861.328,225038.556,3951.338,84,2023
71,7826306.991,2292323.187,157144.932,6540.329,93,2023
